,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
179,"Show De Recaída - Ao Vivo Em Uberlândia / 2018","Bruno & Marrone",616037,https://open.spotify.com/track/2M53M7wYGFjUMlHIXhJoqW
180,"Nem de Graça",Pixote,613705,https://open.spotify.com/track/11Y1IGMIThaxu4ijcXRNYs
181,"Pra Você Guardei O Amor","Nando Reis",610647,https://open.spotify.com/track/1EQ8sBQ7Abv9DvNBzhXAcv
182,Conspiração,"Tribo da Periferia",610312,https://open.spotify.com/track/6RtBJYQuduBYuDmX5ww6rW
183,"Bye Bye","Mc Don Juan",608370,https://open.spotify.com/track/3NpRkAnxexTh4TklAZNjag
184,Deixa,"Mc Th",602969,https://open.spotify.com/track/4zZ2rPOa8itw3VuusVSicv
185,"Goodbyes (Feat. Young Thug)","Post Malone",600289,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo
186,"Bohemian Rhapsody - Remastered 2011",Queen,598665,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
187,"Sua Mãe Vai Me Amar","Turma do Pagode",598066,https://open.spotify.com/track/4fMjqKYYsvtT6Fvca8lGFl
188,Botadona,"Maneiro Na Voz",597484,https://open.spotify.com/track/1L4FkMHbsJWmNmXLFtgHmW
189,"Namorar Não Dá","MC Kevin o Chris",595973,https://open.spotify.com/track/3TvRRQj7qg8GOD612X9hKT
190,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",592739,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
191,Liar,"Camila Cabello",592026,https://open.spotify.com/track/7LzouaWGFCy4tkXDOOnEyM
192,"Ai, Amor",ANAVITÓRIA,591281,https://open.spotify.com/track/3bR8wBqLky6b61ROJlaBEF
193,"Garupa 2","Mc Nando",590040,https://open.spotify.com/track/2ZWCFtbgpxCgb6qR0yHAkh
194,"7 Dias 7 Corpos","Dj Guuga",589657,https://open.spotify.com/track/75G8U8YHMcHirBsO0we3zR
195,"Love À Queima Roupa - Ao Vivo","Marília Mendonça",589594,https://open.spotify.com/track/0aUGXSCmdJz9I9kdY9e9kk
196,Garupa,"Luísa Sonza",587771,https://open.spotify.com/track/1HEr5uCRyuuLlVCOB1RiTE
197,"Mandona - Acústico",Oriente,585805,https://open.spotify.com/track/0R4dwzW253KTxchGryT1H6
198,Dizeres,Lourena,585786,https://open.spotify.com/track/3Vc8vnid3noqupe9PvUKxP
199,"Cerveja De Garrafa (Fumaça Que Eu Faço) - Ao Vivo","Atitude 67",579415,https://open.spotify.com/track/2PADJK4rhdklqFLQFa5oMX
200,"Nave Espacial - Radio Edit",Liu,579415,https://open.spotify.com/track/709F4UQ2uKplKvcD88xffa
