,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
149,"MIDDLE CHILD","J. Cole",31685,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8
150,"Hey, Soul Sister",Train,31287,https://open.spotify.com/track/4HlFJV71xXKIGcU3kRyttv
151,"Call You Mine","The Chainsmokers",31261,https://open.spotify.com/track/1SNiXDwSilLujcYdvfqVpT
152,"IYKYK (They Know Who)","Hooligan Hefs",31116,https://open.spotify.com/track/3giOJy1zsagI2miM669sh8
153,"Young Dumb & Broke",Khalid,30857,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY
154,"High Hopes","Panic! At The Disco",30625,https://open.spotify.com/track/1rqqCSm0Qe4I9rUvWncaom
155,"Rocket Man (I Think It's Going To Be A Long, Long Time)","Elton John",30579,https://open.spotify.com/track/3gdewACMIVMEWVbyb8O9sY
156,"Saturday Nights",Khalid,30526,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8
157,"Don't Give Up On Me - (From ""Five Feet Apart"")","Andy Grammer",30461,https://open.spotify.com/track/5A3fPy30SN2wuzrahpcxvV
158,"Go Your Own Way - 2004 Remaster","Fleetwood Mac",30456,https://open.spotify.com/track/07GvNcU1WdyZJq3XxP0kZa
159,"Tiny Dancer","Elton John",30183,https://open.spotify.com/track/2TVxnKdb3tqe1nhQWwwZCO
160,"Exit Sign","Hilltop Hoods",30157,https://open.spotify.com/track/4c2cdWv3GLKoP12tY0OzZl
161,Believer,"Imagine Dragons",30134,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
162,"Lost In Japan","Shawn Mendes",30116,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
163,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",30004,https://open.spotify.com/track/4e4fqjx0Izh4svvTef1z7e
164,"No Effect","Hooligan Hefs",29998,https://open.spotify.com/track/6Z4vonpOado2slZz4XFf0P
165,"In My Room","Frank Ocean",29897,https://open.spotify.com/track/4S4Mfvv03M1cHgIOJcbUCL
166,"Don't Stop Me Now - Remastered",Queen,29740,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7
167,"Bad N Bouj","Hp Boyz",29727,https://open.spotify.com/track/3XV2EL4JquJ7BEA4Tyi8Gl
168,"Jocelyn Flores",XXXTENTACION,29670,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
169,Thunder,"Imagine Dragons",29531,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
170,"Beer Never Broke My Heart","Luke Combs",29505,https://open.spotify.com/track/3RzcoFkZ0AOp2nH71jP504
171,"You Make My Dreams","Daryl Hall & John Oates",29243,https://open.spotify.com/track/4o6BgsqLIBViaGVbx5rbRk
172,Sorry,"Joel Corry",28964,https://open.spotify.com/track/6y1UtRcHQU07aUs3oxZ8Yn
173,"Lean On Me",Illy,28953,https://open.spotify.com/track/02c4wpeXlXxT7Cekkz3kP3
174,"Girls Like You (feat. Cardi B)","Maroon 5",28918,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
175,"Khe Sanh - 2011 Remastered","Cold Chisel",28911,https://open.spotify.com/track/0frIZMaQwtdV4Ee8nhB1te
176,"Woke Up Late (feat. Hailee Steinfeld)","Drax Project",28851,https://open.spotify.com/track/4oPWkP9zQ5ANBbfdHGOvKF
177,"Little Things","Jessica Mauboy",28690,https://open.spotify.com/track/240WkSGaUBJMBmHLqS33WA
178,"God's Plan",Drake,28579,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
179,"Murder On My Mind","YNW Melly",28280,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC
180,"Pumped Up Kicks","Foster The People",28235,https://open.spotify.com/track/7w87IxuO7BDcJ3YUqCyMTT
181,"All of Me","John Legend",28224,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
182,goosebumps,"Travis Scott",28175,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
183,Bounce,"Samantha Jade",28162,https://open.spotify.com/track/3x0iSm223jC2fMgT3QCn6g
184,Wanted,OneRepublic,28126,https://open.spotify.com/track/6hLkeOMrhZ2CMLBp2of576
185,"To Her Door","Paul Kelly",28106,https://open.spotify.com/track/4KZayGognbXUFNLYj4pPxH
186,Saint-Tropez,"Post Malone",28071,https://open.spotify.com/track/05mDaV9Vb3wrzjF6OPZnhq
187,"I'm Yours","Jason Mraz",27906,https://open.spotify.com/track/3S0OXQeoh0w6AY8WQVckRW
