za,za
artist,P!nk
song_title,Walk Me Home
stream_count,9847
za,za
artist,Black Coffee
song_title,Drive (feat. Delilah Montagu) - Edit
stream_count,9803
za,za
artist,Zedd
song_title,Happy Now
stream_count,9766
za,za
artist,Lauv
song_title,There's No Way (feat. Julia Michaels)
stream_count,9759
za,za
artist,24kGoldn
song_title,VALENTINO
stream_count,9733
za,za
artist,Vusinator
song_title,Gigabyte - Radio Edit
stream_count,9681
za,za
artist,Francois van Coke
song_title,Dagdrome in Suburbia
stream_count,9604
za,za
